id,area,decision_actual,propuesta_rc1,recomendacion,estado,prioridad
D-01,Promesa,"Le damos un nuevo impulso al corazón de tu negocio.","Le damos nuevo impulso a tu negocio.","Aprobada como promesa maestra; corazón y pulso quedan como narrativa secundaria controlada.",APROBADA_2026-08-12,ALTA
D-02,Publicidad,"Publicidad 360 como descriptor integral.","Reservar 360 para Evaluación y Diagnóstico.","Pilar Publicidad; Publicidad 360 solo como descriptor comercial.",APROBADA_2026-08-12,MEDIA
D-03,Entrada comercial,"Diagnóstico RCP 360 como formulario y CTA inicial.","Evaluación gratuita de 45 minutos y Diagnóstico pagado separado.","Dos etapas; no publicar cupos ni plazo sin capacidad demostrada.",APROBADA_2026-08-12,ALTA
D-04,CRM,"Capacidad activa y solución adaptable pública.","Bajo revisión; no oferta pública.","Mantener como capacidad P3 solo si existe capacidad real de entrega.",APROBADA_2026-08-12,ALTA
D-05,Legal,"Legal corporativa, formalización, contratos y laboral públicos.","Asuntos legales corporativos bajo revisión.","Publicar solo con profesional habilitado y proceso confirmado.",APROBADA_2026-08-12,ALTA
D-06,e-CF,"Preparación e integración evaluable.","Contenido educativo; integración en desarrollo.","Mantener URL educativa hasta demostrar integración autorizada y operativa.",APROBADA_2026-08-12,ALTA
D-07,Tecnología,"Dieciséis siglas y capacidades visibles.","Seis familias públicas explicadas por solución.","Lenguaje humano primero; siglas como SEO y capacidades con estado comercial.",APROBADA_2026-08-12,MEDIA
D-08,Rutas,"Rutas Next actuales y verificadas.","Nueva taxonomía de rutas propuesta.","Conservar canónicas actuales y usar alias 308 cuando aplique.",APROBADA_2026-08-12,ALTA
D-09,Especialistas,"Red y postulación públicas; Hub separado pendiente.","Modelo de especialistas y Hub pendientes de revisión.","Mantener red pública limitada; no prometer Hub ni asignación automatizada.",APROBADA_2026-08-12,MEDIA
D-10,Tipografía,"Montserrat en cuerpo y Space Grotesk en títulos.","Montserrat como familia canónica.","Montserrat para cuerpo; Space Grotesk como excepción digital para títulos, con mínimos de legibilidad.",APROBADA_2026-08-12,MEDIA
D-11,Lockup,"Logo maestro y compacto en la web.","Lockup 3P llamado oficial pero con aprobación visual pendiente.","Lockup 3P aprobado como variante secundaria; no sustituye el logo compacto del encabezado.",APROBADA_2026-08-12,MEDIA
